,c,opt str,result
0,1e-06,-t 4 -v 10 -c 1e-06 ,79.38
1,2.1544346900318823e-05,-t 4 -v 10 -c 2.1544346900318823e-05 ,79.38
2,0.00046415888336127773,-t 4 -v 10 -c 0.00046415888336127773 ,94.72
3,0.01,-t 4 -v 10 -c 0.01 ,97.06
4,0.21544346900318823,-t 4 -v 10 -c 0.21544346900318823 ,96.88
5,4.641588833612772,-t 4 -v 10 -c 4.641588833612772 ,96.48
6,100.0,-t 4 -v 10 -c 100.0 ,96.46000000000001
7,2154.434690031878,-t 4 -v 10 -c 2154.434690031878 ,96.38
8,46415.888336127726,-t 4 -v 10 -c 46415.888336127726 ,96.08
9,1000000.0,-t 4 -v 10 -c 1000000.0 ,96.56
