,c,g,r,d,opt str,result
0,0.01,0.01,0,2,-t 1 -v 10 -c 0.01 -g 0.01 -r 0 -d 2 ,81.78
1,0.01,0.01,0,3,-t 1 -v 10 -c 0.01 -g 0.01 -r 0 -d 3 ,65.72
2,0.01,0.01,0,4,-t 1 -v 10 -c 0.01 -g 0.01 -r 0 -d 4 ,51.68000000000001
3,0.01,0.01,0,10,-t 1 -v 10 -c 0.01 -g 0.01 -r 0 -d 10 ,33.48
4,0.01,0.01,1,2,-t 1 -v 10 -c 0.01 -g 0.01 -r 1 -d 2 ,93.67999999999999
5,0.01,0.01,1,3,-t 1 -v 10 -c 0.01 -g 0.01 -r 1 -d 3 ,94.88
6,0.01,0.01,1,4,-t 1 -v 10 -c 0.01 -g 0.01 -r 1 -d 4 ,96.1
7,0.01,0.01,1,10,-t 1 -v 10 -c 0.01 -g 0.01 -r 1 -d 10 ,97.6
8,0.01,0.0033333333333333335,0,2,-t 1 -v 10 -c 0.01 -g 0.0033333333333333335 -r 0 -d 2 ,45.14
9,0.01,0.0033333333333333335,0,3,-t 1 -v 10 -c 0.01 -g 0.0033333333333333335 -r 0 -d 3 ,28.139999999999997
10,0.01,0.0033333333333333335,0,4,-t 1 -v 10 -c 0.01 -g 0.0033333333333333335 -r 0 -d 4 ,23.44
11,0.01,0.0033333333333333335,0,10,-t 1 -v 10 -c 0.01 -g 0.0033333333333333335 -r 0 -d 10 ,20.5
12,0.01,0.0033333333333333335,1,2,-t 1 -v 10 -c 0.01 -g 0.0033333333333333335 -r 1 -d 2 ,87.98
13,0.01,0.0033333333333333335,1,3,-t 1 -v 10 -c 0.01 -g 0.0033333333333333335 -r 1 -d 3 ,90.78
14,0.01,0.0033333333333333335,1,4,-t 1 -v 10 -c 0.01 -g 0.0033333333333333335 -r 1 -d 4 ,92.34
15,0.01,0.0033333333333333335,1,10,-t 1 -v 10 -c 0.01 -g 0.0033333333333333335 -r 1 -d 10 ,95.82000000000001
16,0.01,0.0012755102040816326,0,2,-t 1 -v 10 -c 0.01 -g 0.0012755102040816326 -r 0 -d 2 ,45.32
17,0.01,0.0012755102040816326,0,3,-t 1 -v 10 -c 0.01 -g 0.0012755102040816326 -r 0 -d 3 ,28.02
18,0.01,0.0012755102040816326,0,4,-t 1 -v 10 -c 0.01 -g 0.0012755102040816326 -r 0 -d 4 ,23.48
19,0.01,0.0012755102040816326,0,10,-t 1 -v 10 -c 0.01 -g 0.0012755102040816326 -r 0 -d 10 ,20.5
20,0.01,0.0012755102040816326,1,2,-t 1 -v 10 -c 0.01 -g 0.0012755102040816326 -r 1 -d 2 ,78.25999999999999
21,0.01,0.0012755102040816326,1,3,-t 1 -v 10 -c 0.01 -g 0.0012755102040816326 -r 1 -d 3 ,80.97999999999999
22,0.01,0.0012755102040816326,1,4,-t 1 -v 10 -c 0.01 -g 0.0012755102040816326 -r 1 -d 4 ,85.6
23,0.01,0.0012755102040816326,1,10,-t 1 -v 10 -c 0.01 -g 0.0012755102040816326 -r 1 -d 10 ,92.44
24,1.0,0.01,0,2,-t 1 -v 10 -c 1 -g 0.01 -r 0 -d 2 ,97.58
25,1.0,0.01,0,3,-t 1 -v 10 -c 1 -g 0.01 -r 0 -d 3 ,96.67999999999999
26,1.0,0.01,0,4,-t 1 -v 10 -c 1 -g 0.01 -r 0 -d 4 ,93.46
27,1.0,0.01,0,10,-t 1 -v 10 -c 1 -g 0.01 -r 0 -d 10 ,60.9
28,1.0,0.01,1,2,-t 1 -v 10 -c 1 -g 0.01 -r 1 -d 2 ,97.72
29,1.0,0.01,1,3,-t 1 -v 10 -c 1 -g 0.01 -r 1 -d 3 ,98.08
30,1.0,0.01,1,4,-t 1 -v 10 -c 1 -g 0.01 -r 1 -d 4 ,98.04
31,1.0,0.01,1,10,-t 1 -v 10 -c 1 -g 0.01 -r 1 -d 10 ,97.84
32,1.0,0.0033333333333333335,0,2,-t 1 -v 10 -c 1 -g 0.0033333333333333335 -r 0 -d 2 ,95.28
33,1.0,0.0033333333333333335,0,3,-t 1 -v 10 -c 1 -g 0.0033333333333333335 -r 0 -d 3 ,83.72
34,1.0,0.0033333333333333335,0,4,-t 1 -v 10 -c 1 -g 0.0033333333333333335 -r 0 -d 4 ,55.7
35,1.0,0.0033333333333333335,0,10,-t 1 -v 10 -c 1 -g 0.0033333333333333335 -r 0 -d 10 ,20.48
36,1.0,0.0033333333333333335,1,2,-t 1 -v 10 -c 1 -g 0.0033333333333333335 -r 1 -d 2 ,97.18
37,1.0,0.0033333333333333335,1,3,-t 1 -v 10 -c 1 -g 0.0033333333333333335 -r 1 -d 3 ,97.38
38,1.0,0.0033333333333333335,1,4,-t 1 -v 10 -c 1 -g 0.0033333333333333335 -r 1 -d 4 ,97.54
39,1.0,0.0033333333333333335,1,10,-t 1 -v 10 -c 1 -g 0.0033333333333333335 -r 1 -d 10 ,98.14
40,1.0,0.0012755102040816326,0,2,-t 1 -v 10 -c 1 -g 0.0012755102040816326 -r 0 -d 2 ,86.9
41,1.0,0.0012755102040816326,0,3,-t 1 -v 10 -c 1 -g 0.0012755102040816326 -r 0 -d 3 ,33.22
42,1.0,0.0012755102040816326,0,4,-t 1 -v 10 -c 1 -g 0.0012755102040816326 -r 0 -d 4 ,23.48
43,1.0,0.0012755102040816326,0,10,-t 1 -v 10 -c 1 -g 0.0012755102040816326 -r 0 -d 10 ,20.52
44,1.0,0.0012755102040816326,1,2,-t 1 -v 10 -c 1 -g 0.0012755102040816326 -r 1 -d 2 ,96.3
45,1.0,0.0012755102040816326,1,3,-t 1 -v 10 -c 1 -g 0.0012755102040816326 -r 1 -d 3 ,96.67999999999999
46,1.0,0.0012755102040816326,1,4,-t 1 -v 10 -c 1 -g 0.0012755102040816326 -r 1 -d 4 ,97.04
47,1.0,0.0012755102040816326,1,10,-t 1 -v 10 -c 1 -g 0.0012755102040816326 -r 1 -d 10 ,97.76
48,100.0,0.01,0,2,-t 1 -v 10 -c 100 -g 0.01 -r 0 -d 2 ,98.14
49,100.0,0.01,0,3,-t 1 -v 10 -c 100 -g 0.01 -r 0 -d 3 ,97.76
50,100.0,0.01,0,4,-t 1 -v 10 -c 100 -g 0.01 -r 0 -d 4 ,96.94
51,100.0,0.01,0,10,-t 1 -v 10 -c 100 -g 0.01 -r 0 -d 10 ,79.14
52,100.0,0.01,1,2,-t 1 -v 10 -c 100 -g 0.01 -r 1 -d 2 ,97.7
53,100.0,0.01,1,3,-t 1 -v 10 -c 100 -g 0.01 -r 1 -d 3 ,98.14
54,100.0,0.01,1,4,-t 1 -v 10 -c 100 -g 0.01 -r 1 -d 4 ,97.98
55,100.0,0.01,1,10,-t 1 -v 10 -c 100 -g 0.01 -r 1 -d 10 ,97.98
56,100.0,0.0033333333333333335,0,2,-t 1 -v 10 -c 100 -g 0.0033333333333333335 -r 0 -d 2 ,98.2
57,100.0,0.0033333333333333335,0,3,-t 1 -v 10 -c 100 -g 0.0033333333333333335 -r 0 -d 3 ,97.68
58,100.0,0.0033333333333333335,0,4,-t 1 -v 10 -c 100 -g 0.0033333333333333335 -r 0 -d 4 ,93.96
59,100.0,0.0033333333333333335,0,10,-t 1 -v 10 -c 100 -g 0.0033333333333333335 -r 0 -d 10 ,25.96
60,100.0,0.0033333333333333335,1,2,-t 1 -v 10 -c 100 -g 0.0033333333333333335 -r 1 -d 2 ,97.58
61,100.0,0.0033333333333333335,1,3,-t 1 -v 10 -c 100 -g 0.0033333333333333335 -r 1 -d 3 ,97.54
62,100.0,0.0033333333333333335,1,4,-t 1 -v 10 -c 100 -g 0.0033333333333333335 -r 1 -d 4 ,97.74000000000001
63,100.0,0.0033333333333333335,1,10,-t 1 -v 10 -c 100 -g 0.0033333333333333335 -r 1 -d 10 ,97.98
64,100.0,0.0012755102040816326,0,2,-t 1 -v 10 -c 100 -g 0.0012755102040816326 -r 0 -d 2 ,97.88
65,100.0,0.0012755102040816326,0,3,-t 1 -v 10 -c 100 -g 0.0012755102040816326 -r 0 -d 3 ,93.30000000000001
66,100.0,0.0012755102040816326,0,4,-t 1 -v 10 -c 100 -g 0.0012755102040816326 -r 0 -d 4 ,67.5
67,100.0,0.0012755102040816326,0,10,-t 1 -v 10 -c 100 -g 0.0012755102040816326 -r 0 -d 10 ,20.54
