,c,g,opt str,result
0,1e-05,1.0,-t 2 -v 10 -c 1e-05 -g 1 ,20.560000000000002
1,1e-05,0.02,-t 2 -v 10 -c 1e-05 -g 0.02 ,93.06
2,1e-05,0.01,-t 2 -v 10 -c 1e-05 -g 0.01 ,89.92
3,1e-05,0.0033333333333333335,-t 2 -v 10 -c 1e-05 -g 0.0033333333333333335 ,83.98
4,1e-05,0.0012755102040816326,-t 2 -v 10 -c 1e-05 -g 0.0012755102040816326 ,81.22
5,0.01,1.0,-t 2 -v 10 -c 0.01 -g 1 ,20.5
6,0.01,0.02,-t 2 -v 10 -c 0.01 -g 0.02 ,93.60000000000001
7,0.01,0.01,-t 2 -v 10 -c 0.01 -g 0.01 ,92.67999999999999
8,0.01,0.0033333333333333335,-t 2 -v 10 -c 0.01 -g 0.0033333333333333335 ,87.02
9,0.01,0.0012755102040816326,-t 2 -v 10 -c 0.01 -g 0.0012755102040816326 ,81.22
10,1.0,1.0,-t 2 -v 10 -c 1 -g 1 ,30.220000000000002
11,1.0,0.02,-t 2 -v 10 -c 1 -g 0.02 ,98.4
12,1.0,0.01,-t 2 -v 10 -c 1 -g 0.01 ,98.0
13,1.0,0.0033333333333333335,-t 2 -v 10 -c 1 -g 0.0033333333333333335 ,97.28
14,1.0,0.0012755102040816326,-t 2 -v 10 -c 1 -g 0.0012755102040816326 ,96.39999999999999
15,100.0,1.0,-t 2 -v 10 -c 100 -g 1 ,31.16
16,100.0,0.02,-t 2 -v 10 -c 100 -g 0.02 ,98.58
17,100.0,0.01,-t 2 -v 10 -c 100 -g 0.01 ,98.4
18,100.0,0.0033333333333333335,-t 2 -v 10 -c 100 -g 0.0033333333333333335 ,97.74000000000001
19,100.0,0.0012755102040816326,-t 2 -v 10 -c 100 -g 0.0012755102040816326 ,97.26
20,100000.0,1.0,-t 2 -v 10 -c 100000 -g 1 ,31.94
21,100000.0,0.02,-t 2 -v 10 -c 100000 -g 0.02 ,98.64
22,100000.0,0.01,-t 2 -v 10 -c 100000 -g 0.01 ,98.46000000000001
23,100000.0,0.0033333333333333335,-t 2 -v 10 -c 100000 -g 0.0033333333333333335 ,97.7
24,100000.0,0.0012755102040816326,-t 2 -v 10 -c 100000 -g 0.0012755102040816326 ,97.48
